ID,Idnum,Link,VideoName,YouTubeChannel,AthleteName,AthleteSurname,AthleteNat,AthleteGender,AthleteBib,AthleteSpeed,AthleteScore,AthleteDistance,AthleteJdgA,AthleteJdgB,AthleteJdgC,AthleteJdgD,AthleteJdgE,AthleteGate,HillLocation,HillNat,HillK,HillHS,Time,Weather,Season,Date,ResultsLink,
JP0062,62,https://www.youtube.com/watch?v=N8LOnF-q7qc,2nd place Johann Andre Forfang in Flying Hill - Planica - Ski Jumping - 2017/18,FIS Ski Jumping,JohannAndre,Forfang,NOR,M,29,105.7,228.7,234.5,19,19,19,19,18.5,9,Planica,SLO,200,240,Day,Overcast,1718,20180323,https://medias1.fis-ski.com/pdf/2018/JP/3092/2018JP3092RL.pdf,
JP0063,63,https://www.youtube.com/watch?v=NUoZmda3YGQ,Silje Opseth | Women's Large Hill #2 | Lillehammer | 2nd place | FIS Ski Jumping,FIS Ski Jumping,Silje,Opseth,NOR,W,25,92.6,130,134,17,16.5,18.5,18.5,18,16,Lillehammer,NOR,123,140,Night,Fog,1920,20200310,https://medias2.fis-ski.com/pdf/2020/JP/3095/2020JP3095RL.pdf,
JP0064,64,https://www.youtube.com/watch?v=g3zn-y2tg7s,Austria | Women's Team Normal Hill | Ljubno | 1st place | FIS Ski Jumping,FIS Ski Jumping,Chiara,Hoelzl,AUT,W,11,85.8,132.3,88.5,18,17.5,17.5,18,17.5,19,Ljubno,SLO,85,94,Day,Clear,1920,20200222,https://medias4.fis-ski.com/pdf/2020/JP/3090/2020JP3090RL.pdf,
JP0065,65,https://www.youtube.com/watch?v=FUIYYRggB3w,Daniel Andre Tande | Men's Large Hill | Ruka #1 | 1st place | FIS Ski Jumping,FIS Ski Jumping,DanielAndre,Tande,NOR,M,50,88,149.5,142,19,18.5,18.5,18.5,18,15,Ruka,FIN,120,142,Night,Clear,1920,20191130,https://medias3.fis-ski.com/pdf/2020/JP/3110/2020JP3110RL.pdf,
JP0066,66,https://www.youtube.com/watch?v=LM_krazG6FM,Domen Prevc | Men's Flying Hill | Vikersund | RAW Air | 1st place | FIS Ski Jumping,FIS Ski Jumping,Domen,Prevc,SLO,M,27,103,221.9,232.5,19,19,19.5,19,18.5,17,Vikersund,NOR,200,240,Night,LowClouds,1819,20190317,https://medias2.fis-ski.com/pdf/2019/JP/3131/2019JP3131RL.pdf,
JP0067,67,https://www.youtube.com/watch?v=__B244eG16Y,Eva Pinkelnig | Ladies' Large Hill | Trondheim | RAW Air | 3rd place | FIS Ski Jumping,FIS Ski Jumping,Eva,Pinkelnig,AUT,W,35,94.7,128.9,128,18.5,18,18,18.5,18,30,Trondheim,NOR,124,140,Day,Clear,1819,20190314,https://medias2.fis-ski.com/pdf/2019/JP/3079/2019JP3079RL.pdf,
JP0068,68,https://www.youtube.com/watch?v=6iY1gV2xssM,Peter Prevc | Men's Large Hill | Oslo | RAW Air | 3rd place | FIS Ski Jumping,FIS Ski Jumping,Peter,Prevc,SLO,M,15,90.4,132.6,129,18,18,18.5,18.5,18.5,14,Oslo,NOR,120,134,Day,Clear,1819,20190310,https://medias4.fis-ski.com/pdf/2019/JP/3124/2019JP3124RL.pdf,
JP0069,69,https://www.youtube.com/watch?v=BPjMtmPodjo,Dawid Kubacki | Gold Medal | Men's NH | Seefeld | FIS Nordic World Ski Championships,FIS Ski Jumping,Dawid,Kubacki,SLO,M,46,89.4,133,104.5,18.5,18.5,18,18.5,18.5,16,Seefeld,AUT,99,109,Night,Snowing,1819,20190301,https://medias1.fis-ski.com/pdf/2019/JP/3192/2019JP3192RL.pdf,
JP0070,70,https://www.youtube.com/watch?v=i6FlW3taqGU,Katharina Althaus | Silver Medal | Ladies' NH | Seefeld | FIS Nordic World Ski Championship,FIS Ski Jumping,Katharina,Althaus,GER,W,52,91.3,130.2,107,18.5,18.5,17.5,17.5,18,19,Seefeld,AUT,99,109,Day,Clear,1819,20190227,https://medias4.fis-ski.com/pdf/2019/JP/3190/2019JP3190RL.pdf,
JP0071,71,https://www.youtube.com/watch?v=USZLlLMBnsQ,Killian Peier | Bronze Medal | Men's LH | Innsbruck | FIS Nordic World Ski Championships,FIS Ski Jumping,Killian,Peier,SUI,M,36,89.2,128.2,129.5,17,18,18,17,17.5,12,Innsbruck,AUT,120,130,Day,Clear,1819,20190223,https://medias4.fis-ski.com/pdf/2019/JP/3187/2019JP3187RL.pdf,
