seq_names;SC;ARC;LR;FM;CM;FOC;POC;IV;BC;MB
JP0009_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0010_0;1.0;0.0;1.0;0.0;0;0;1;1;0;0
JP0010_1;1.0;1.0;0.0;0.0;1;0;1;1;0;1
JP0010_2;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0010_3;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0011_0;0.0;1.0;0.0;0.0;0;0;1;1;0;0
JP0011_1;1.0;1.0;0.0;0.0;1;0;0;1;0;1
JP0011_2;1.0;1.0;1.0;1.0;0;0;0;1;1;0
JP0011_3;1.0;1.0;0.0;0.0;0;0;0;1;0;0
JP0012_0;1.0;1.0;0.0;0.0;0;0;1;0;1;0
JP0012_1;1.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0012_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0013_0;0.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0013_1;1.0;1.0;0.0;1.0;0;0;0;0;1;0
JP0014_0;1.0;1.0;0.0;0.0;0;1;1;1;0;0
JP0014_1;1.0;1.0;0.0;1.0;0;0;0;1;1;0
JP0015_0;1.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0015_1;1.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0015_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0016_0;0.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0016_1;1.0;1.0;0.0;0.0;0;0;0;1;1;0
JP0016_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0017_0;0.0;1.0;0.0;0.0;0;0;1;0;1;0
JP0017_1;1.0;1.0;0.0;1.0;0;0;0;1;0;0
JP0017_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0018_0;1.0;1.0;0.0;0.0;1;0;1;0;0;1
JP0018_1;1.0;1.0;0.0;0.0;1;0;1;1;0;1
JP0018_2;1.0;1.0;0.0;0.0;0;0;1;1;1;0
JP0018_3;1.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0019_0;1.0;1.0;0.0;0.0;1;0;1;0;0;0
JP0019_1;1.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0019_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0020_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0020_1;1.0;1.0;0.0;1.0;1;0;1;1;0;0
JP0020_2;1.0;1.0;0.0;0.0;0;0;0;1;1;0
JP0020_3;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0021_0;1.0;1.0;0.0;0.0;1;0;1;0;0;1
JP0021_1;1.0;1.0;1.0;1.0;0;0;1;0;1;1
JP0021_2;1.0;0.0;1.0;0.0;0;0;0;0;1;1
JP0021_3;1.0;1.0;0.0;1.0;0;0;0;0;0;0
JP0021_4;0.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0022_0;1.0;1.0;0.0;0.0;1;0;1;0;0;1
JP0022_1;0.0;0.0;0.0;0.0;1;0;1;0;0;1
JP0022_2;1.0;1.0;0.0;1.0;0;0;0;0;1;0
JP0022_3;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0023_0;1.0;1.0;0.0;0.0;1;0;1;0;0;1
JP0023_1;1.0;1.0;1.0;1.0;1;0;1;0;0;1
JP0023_2;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0023_3;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0024_0;1.0;1.0;0.0;0.0;0;0;1;1;0;0
JP0024_1;1.0;1.0;0.0;0.0;0;0;0;1;0;1
JP0024_2;1.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0025_0;0.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0025_1;1.0;1.0;0.0;0.0;1;0;1;0;1;0
JP0025_2;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0025_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0026_0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0026_1;1.0;1.0;0.0;0.0;0;1;1;0;0;0
JP0026_2;1.0;1.0;0.0;0.0;0;0;0;1;1;1
JP0026_3;0.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0051_0;1.0;1.0;0.0;0.0;0;0;1;0;1;0
JP0051_1;1.0;1.0;0.0;0.0;1;0;1;0;1;1
JP0051_2;1.0;1.0;0.0;0.0;0;0;0;0;0;1
JP0051_3;0.0;0.0;0.0;0.0;0;0;0;0;0;1
JP0063_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0063_1;1.0;1.0;0.0;1.0;0;0;1;1;0;0
JP0063_2;1.0;1.0;1.0;1.0;0;0;0;1;1;0
JP0064_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0064_1;1.0;1.0;0.0;1.0;0;0;0;0;0;1
JP0064_2;1.0;1.0;1.0;0.0;0;0;1;0;1;0
JP0065_0;1.0;1.0;0.0;0.0;0;1;1;0;0;0
JP0065_1;1.0;1.0;0.0;0.0;0;0;0;0;0;1
JP0065_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0066_0;1.0;1.0;0.0;0.0;0;1;1;1;1;0
JP0066_1;1.0;1.0;1.0;1.0;0;0;0;0;1;0
JP0066_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0067_0;1.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0067_1;1.0;1.0;0.0;1.0;1;1;1;0;0;1
JP0067_2;1.0;1.0;0.0;1.0;0;0;0;0;0;0
JP0067_3;1.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0073_0;1.0;1.0;1.0;0.0;0;0;0;0;0;0
JP0073_1;1.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0073_2;1.0;1.0;0.0;1.0;0;0;0;1;1;0
JP0073_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0074_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0074_1;1.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0074_2;1.0;0.0;1.0;1.0;0;0;0;0;0;1
JP0074_3;1.0;1.0;0.0;1.0;0;0;1;0;1;1
JP0074_4;1.0;1.0;0.0;1.0;0;0;1;0;0;1
JP0088_0;1.0;1.0;0.0;0.0;1;0;1;0;1;1
JP0088_1;1.0;1.0;1.0;1.0;1;0;1;0;1;1
JP0088_2;1.0;1.0;0.0;1.0;0;0;0;0;1;0
JP0088_3;1.0;0.0;0.0;0.0;0;0;1;0;0;1
JP0096_0;1.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0096_1;1.0;1.0;0.0;1.0;0;0;0;0;0;0
JP0097_0;1.0;1.0;0.0;0.0;1;0;0;0;1;0
JP0097_1;0.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0097_2;0.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0097_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0098_0;1.0;1.0;0.0;0.0;1;0;0;0;0;1
JP0098_1;1.0;1.0;0.0;1.0;1;0;1;0;0;1
JP0098_2;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0098_3;0.0;1.0;0.0;0.0;0;0;0;0;0;0
JP0099_0;1.0;1.0;0.0;0.0;0;0;1;0;1;0
JP0099_1;1.0;1.0;1.0;1.0;1;0;1;0;1;1
JP0099_2;1.0;1.0;0.0;1.0;0;0;0;0;1;0
JP0100_0;1.0;1.0;0.0;1.0;1;0;1;0;1;1
JP0100_1;1.0;1.0;0.0;0.0;0;0;0;0;1;0
JP0100_2;0.0;0.0;0.0;0.0;0;0;0;0;0;0
